name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Karma Sanctum Soho Hotel,"Ideally located in London's West End, the stylish Sanctum Soho Hotel features a rooftop garden with a 24-hour bar and the onsite Wild Heart Restaurant.",20 Warwick Street,,,London,Greater London,W1B 5NF,UK,,,,,W1B,Hotel,,
Courthouse Hotel London,"Set in a Grade II Listed building, this luxury hotel is in Central London, just 2 minutes’ walk from Oxford Circus Tube Station.",19-21 Gt. Marlborough St,,,London,Greater London,W1F 7HL,UK,,,,,W1F,Hotel,,
The Soho STAR,"Providing city views, The Soho STAR is located in the Westminster Borough district of London, 800 metres from Tottenham Court Road and 500 metres from...",Poland Street,,,London,Greater London,W1F 8QF,UK,,,,,W1F,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by London Dream Vacations'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
Loft Duplex Oxford Circus Luxury,"Right in the centre of London, set within a short distance of Oxford Circus and Oxford Street, Loft Duplex Oxford Circus Luxury offers free WiFi, air...",24 Market Place - Orwell Studio,,,London,Greater London,W1W 8ER,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by David'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Soho 1 Bed - Stunning Apartment, unbeatable location!","Attractively situated in the Westminster Borough district of London, Soho 1 Bed - Stunning Apartment, unbeatable location!",45 Broadwick Street,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
Stylish apartment near Carnaby Street,"100 metres from Carnaby Street, Stylish apartment is in the Westminster Borough district of London.",Flat 10,45 Broadwick Street,Soho,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Ian'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Luxury 2 Bedroom Apartment in Central London,"Right in the centre of London, set within a short distance of Madame Tussauds and Regents Park, Luxury 2 Bedroom Apartment in Central London offers free...",117 Harley Street,,,London,Greater London,W1G 6AS,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Londoners'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
2 Bedroom flat in great location!,"2 Bedroom flat in great location! in London offers accommodation with free WiFi, 1.1 km from Oxford Street, 1.4 km from Tottenham Court Road and 1.",25,,,London,Greater London,W1W 5AS,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Lovely Studio in Fitzrovia,"In the Westminster Borough district of London, close to Oxford Street, Lovely Studio in Fitzrovia features free WiFi and a washing machine.",27 Gosfield Street,,,London,Greater London,W1W 6HH,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by The G Group'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Holiday Inn London - Regent's Park, an IHG Hotel","In the heart of London, this modern 4-star hotel is just a 5-minute walk from Regent’s Park and 2 Tube Stations.",Carburton Street,,,London,Greater London,W1W 5EE,UK,,,,,W1W,Hotel,,
Harley Street 3 Bedrooms and 3 Bathrooms Family Apartment,"Set in London, Harley Street 3 Bedroom 3 Bath Family Apartment offers city views and free WiFi, 800 metres from Oxford Street and 600 metres from Madame...",Harley Street,,,London,Greater London,W1G 6AJ,UK,,,,,W1G,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
The Residence Fitzrovia - Private One Bedroom Apartment With Own Entrance,"Right in the centre of London, situated within a short distance of Oxford Circus and Oxford Street, The Residence Fitzrovia - Private One Bedroom Apartment...",Lower Ground Apartment,,116 New Cavendish Street,London,Greater London,W1W 6XU,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Mi-Short Stay'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Styled 2B/2B Duplex with Patio near Oxford Circus,"Styled 2B/2B Duplex with Patio near Oxford Circus is set in the Westminster Borough district of London, 700 metres from Oxford Street, 1.",25B Gosfield Street,,,London,Greater London,W1W 6HQ,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Steps to Oxford Street-Central 1BR Flat-Sleeps 4,"In the Westminster Borough district of London, close to Oxford Street, Steps to Oxford Street-Central 1BR Flat-Sleeps 4 features free WiFi and a washing...",7 Clipstone Street,,,London,Greater London,W1W 6BD,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Kardash Real Estate'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Lux Duplex near Oxford St,"Set in the centre of London, 700 metres from Oxford Circus and 700 metres from Oxford Street, Lux Duplex near Oxford St offers free WiFi and air...",126 Great Portland Street 3,,,London,Greater London,W1W 6PR,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Adjoin Homes'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
